表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
田中里,,1922,1668212,868,562,352,978,2679.42,308.70
永清里,,1548,1108438,716,543,336,898,638.66,89.19
維德里,,818,581775,711,516,338,852,781.92,109.94
五華里,,1526,1474587,966,622,378,1143,1498.66,155.09
永煇里,,669,407320,609,498,312,738,510.37,83.82
三民里,,959,770627,804,572,352,1004,774.88,96.43
錦田里,,644,2227654,3459,529,323,966,49285.26,1424.80
慈祐里,,1339,1029801,769,543,339,943,733.86,95.42
六福里,,1608,1133203,705,552,351,861,598.86,84.98
光陽里,,2068,1883827,911,597,346,1084,1438.03,157.86
福田里,,1128,927823,823,537,349,901,3269.31,397.47
"註:本統計之所得為課稅資料,未納入「政府移轉支出」各戶所得、免稅所得、分離課稅所得等資料,不宜逕作為衡量所得差距之參據,相關所得資料應以行政院主計總處公布之資料為準。",,,,,,,,,

表 165-F(103 年度)綜稅所得總額各縣市鄉鎮村里統計分析表,,,,,,單位:金額(千元),,,
縣市別:新,北,市,,,,製表日期:105 年 06 月 20 日,,,
,,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
,富福里,575,376168,654,501,301,773,600.23,91.75
,仁忠里,791,484388,612,506,346,780,430.02,70.22
,富貴里,1991,2521115,1266,717,401,1354,3508.03,277.04
,慈愛里,942,581945,618,514,326,796,448.97,72.68
,福德里,1188,1059936,892,561,339,988,2560.86,287.03
,永豐里,1527,1092324,715,539,341,907,685.66,95.85
,博愛里,1394,984823,706,526,329,858,646.05,91.45
,永吉里,886,657391,742,547,345,915,676.64,91.19
,永順里,1341,883673,659,497,331,809,633.84,96.19
,永發里,1971,1651099,838,589,350,1034,953.64,113.84
,立德里,975,767900,788,573,328,975,809.21,102.75
,福樂里,1024,783179,765,529,331,848,1740.28,227.54
,仁華里,1267,980697,774,572,351,955,874.93,113.04
,五順里,982,668275,681,534,334,888,538.91,79.19
,其 他,49,24267,495,380,315,527,477.71,96.46
,合 計,106089,88439493,834,559,345,954,4653.47,558.21
泰山區,黎明里,1022,778443,762,592,365,953,660.84,86.76
,大科里,249,186329,748,585,328,971,653.63,87.35
,山腳里,2023,1496411,740,551,352,923,721.00,97.47
,楓樹里,1261,1090304,865,600,365,1027,1639.60,189.63
,同榮里,1282,1050608,820,575,355,984,959.53,117.09
,義學里,1330,985600,741,570,349,923,656.60,88.60
,明志里,1176,934317,794,552,341,966,931.23,117.21
,貴子里,1201,1023144,852,618,334,1060,815.82,95.76
,貴和里,1625,1270450,782,588,347,965,855.04,109.37
,福泰里,824,547529,664,507,326,812,614.56,92.49
,同興里,1163,1097963,944,660,396,1215,944.45,100.04
,義仁里,2441,2154110,882,647,388,1133,825.38,93.53
,泰友里,634,451962,713,551,333,939,567.64,79.63
,新明里,1009,703206,697,545,341,920,528.13,75.78
,貴賢里,1251,1128424,902,630,375,1127,835.15,92.59
,福興里,1152,1013415,880,675,390,1147,777.11,88.34
,全興里,2842,3021911,1063,821,458,1402,938.35,88.25
,其 他,1,454,454,454,454,454,0.00,0.00
